tower,income_adjusted,st_xmin,st_ymin,st_xmax,st_ymax
1394,poor,4346527.12216626,-757420.03968762,4348267.09216626,-755680.06968762
1832,poor,4368734.4608104,-774797.951281618,4370474.4308104,-773057.981281618
1794,poor,4367470.26953783,-760378.74905879,4369210.23953783,-758638.77905879
2084,average,4377358.06339167,-760938.254498141,4379098.03339167,-759198.284498141
1755,average,4366605.90699115,-757540.34198129,4368345.87699115,-755800.37198129
1745,average,4366382.77948556,-757937.41504182,4368122.74948556,-756197.44504182
1609,average,4362873.96346395,-763262.750302015,4364613.93346395,-761522.780302015
1891,poor,4369811.12109564,-762087.687266431,4371551.09109564,-760347.717266431
1836,poor,4368395.83706356,-771633.089532775,4370135.80706356,-769893.119532775
1824,poor,4368400.09733393,-766089.584127992,4370140.06733393,-764349.614127992
1876,poor,4369480.27478621,-768529.296946866,4371220.24478622,-766789.326946866
1760,poor,4366497.53981492,-769247.597034593,4368237.50981492,-767507.627034593
1722,poor,4365613.99053464,-759784.058734081,4367353.96053465,-758044.088734081
1687,poor,4364834.45871398,-770376.472198405,4366574.42871398,-768636.502198405
1952,poor,4370905.51272653,-767566.905363916,4372645.48272653,-765826.935363916
1613,wealthy,4362969.86342196,-759524.774215103,4364709.83342196,-757784.804215103
1561,wealthy,4360734.32312625,-758772.041258802,4362474.29312625,-757032.071258802
1934,wealthy,4370836.5792516,-765592.830740112,4372576.5492516,-763852.860740112
1638,wealthy,4363631.55155655,-759572.194152619,4365371.52155655,-757832.224152619
1571,wealthy,4361481.67879744,-758313.224017624,4363221.64879744,-756573.254017624
1721,poor,4365732.21070406,-763461.357748141,4367472.18070406,-761721.387748141
1529,poor,4358792.2585964,-767877.078184732,4360532.2285964,-766137.108184732
1737,poor,4366236.77106872,-755491.855833637,4367976.74106872,-753751.885833637
1767,poor,4366956.46592016,-771815.213764388,4368696.43592016,-770075.243764388
1700,poor,4365259.4660989,-768132.646010032,4366999.4360989,-766392.676010032
1851,poor,4368986.69043716,-757585.088875211,4370726.66043716,-755845.118875211
1540,poor,4359322.06870173,-768816.04117182,4361062.03870173,-767076.071171821
1503,poor,4357141.81564875,-770959.681970304,4358881.78564875,-769219.711970304
1774,poor,4366941.89150448,-758222.075612321,4368681.86150448,-756482.105612321
1600,poor,4362581.51092282,-761759.284720852,4364321.48092283,-760019.314720852
1387,poor,4344557.43643029,-758822.019944973,4346297.4064303,-757082.049944973
2096,average,4381285.50463269,-765034.857836191,4383025.47463269,-763294.887836191
1735,average,4366013.83781389,-768699.322304868,4367753.80781389,-766959.352304868
1460,average,4354021.93962366,-755603.083104411,4355761.90962366,-753863.113104411
1552,average,4360399.04931888,-770120.988931735,4362139.01931888,-768381.018931735
1821,average,4368396.10462507,-760085.347274534,4370136.07462507,-758345.377274534
1723,wealthy,4367153.81565553,-749942.611559734,4368893.78565553,-748202.641559734
1878,wealthy,4369602.20083672,-760536.209171864,4371342.17083672,-758796.239171864
2037,wealthy,4372336.03840655,-760019.578480849,4374076.00840655,-758279.608480849
1729,wealthy,4365969.67410478,-758327.543774677,4367709.64410478,-756587.573774677
1874,wealthy,4369486.14826963,-757122.01955837,4371226.11826963,-755382.04955837
2093,wealthy,4382890.8960192,-757273.461124192,4384630.8660192,-755533.491124192
2080,average,4375195.64330606,-763773.319293228,4376935.61330606,-762033.349293228
1640,average,4363760.24041198,-757680.098390966,4365500.21041198,-755940.128390966
1477,average,4354359.9392477,-751647.25902672,4356099.9092477,-749907.28902672
1517,average,4358177.3056679,-756481.107802353,4359917.2756679,-754741.137802353
1804,poor,4367686.40222415,-772823.916257881,4369426.37222415,-771083.946257881
1754,poor,4366623.54548428,-759553.663137047,4368363.51548428,-757813.693137047
1524,poor,4358455.13942294,-771432.108479616,4360195.10942294,-769692.138479616
1780,poor,4367211.77815219,-761996.386056461,4368951.74815219,-760256.416056462
1830,poor,4368561.80283406,-761562.75383565,4370301.77283406,-759822.78383565
1799,poor,4367819.78121642,-761129.651174568,4369559.75121642,-759389.681174568
1986,poor,4371560.4772328,-763854.638061012,4373300.44723281,-762114.668061012
1819,poor,4368290.45608268,-769199.581634871,4370030.42608268,-767459.611634871
1739,poor,4366107.49571599,-764218.665267912,4367847.46571599,-762478.695267912
1516,poor,4358143.75983666,-754840.247864303,4359883.72983666,-753100.277864303
1893,wealthy,4369837.81213935,-762661.864763882,4371577.78213935,-760921.894763883
2087,wealthy,4378763.39936119,-773153.54052145,4380503.36936119,-771413.57052145
1953,wealthy,4371015.24764239,-762255.115068392,4372755.21764239,-760515.145068392
1492,poor,4355996.80448649,-777509.539148888,4357736.77448649,-775769.569148888
1935,poor,4370543.94496653,-773162.84142236,4372283.91496653,-771422.87142236
1582,poor,4361918.12422528,-767411.669714727,4363658.09422528,-765671.699714727
1892,poor,4369824.51336342,-773428.869560294,4371564.48336342,-771688.899560294
1850,poor,4369027.00419847,-765862.332479205,4370766.97419847,-764122.362479205
1486,poor,4355295.77990088,-768673.173756817,4357035.74990088,-766933.203756817
1484,poor,4355320.96185699,-759873.823335462,4357060.93185699,-758133.853335462
1501,poor,4357379.71557259,-750404.466371201,4359119.68557259,-748664.496371201
2036,poor,4372685.82120513,-770671.056944433,4374425.79120513,-768931.086944433
1426,poor,4351231.52821996,-753280.826518448,4352971.49821996,-751540.856518448
1979,poor,4371549.16264921,-775432.985476818,4373289.13264921,-773693.015476818
2065,poor,4373331.24859482,-775018.094356291,4375071.21859482,-773278.124356291
1840,poor,4368766.18741499,-765407.766879432,4370506.15741499,-763667.796879432
1937,wealthy,4370601.41099908,-761845.989258625,4372341.38099908,-760106.019258625
1960,wealthy,4371006.48646837,-758012.735288663,4372746.45646837,-756272.765288663
1938,average,4370802.06872219,-759030.553229756,4372542.03872219,-757290.583229756
1579,wealthy,4361322.18356624,-748065.308098782,4363062.15356624,-746325.338098782
1447,average,4352730.25654691,-740837.799508877,4354470.22654691,-739097.829508877
1585,wealthy,4361997.49604619,-765599.189666226,4363737.46604619,-763859.219666226
1570,wealthy,4361251.19915832,-766724.141860863,4362991.16915832,-764984.171860863
1438,average,4351755.81775082,-757130.954829474,4353495.78775082,-755390.984829474
1936,poor,4370931.68494807,-773151.045332884,4372671.65494807,-771411.075332884
1923,wealthy,4370564.32300171,-766841.95928339,4372304.29300171,-765101.98928339
1940,poor,4370741.0418876,-770123.570403077,4372481.0118876,-768383.600403077
1852,poor,4368960.18551554,-773684.943665289,4370700.15551554,-771944.973665289
2015,poor,4371707.80095948,-778573.831911952,4373447.77095948,-776833.861911952
